"trait","meanImp","medianImp","minImp","maxImp","normHits","decision"
"top.geometry.fluo.leaf.curvature.avg.24",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.count.24",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.points.24",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.width.mean..px..24",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.minrectangle.length.b..px..24",-0.0625625939065239,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.minrectangle.length.a..px..24",0,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.pc2..px..24",0.125125187813048,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.pc1..px..24",-0.0625625939065239,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.vis.leaftip.count..leaftips..24",0,0,0,0,0,"Rejected"
"top.intensity.fluo.lab.b.mean.24",0.278130195762865,0,-1.00100150250438,1.38942503594182,0.00066711140760507,"Rejected"
"top.intensity.fluo.lab.a.mean.24",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.lab.l.mean.24",0.31281296953262,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.hsv.h.brown2green.24",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.nir.mean.24",3.44804953118694,3.44573356809083,1.73050848196511,4.95198868878543,0.999332888592395,"Confirmed"
"top.intensity.vis.hsv.h.red2green.24",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.hsv.s.mean.24",0.609780807845308,0.212047547610707,0,2.06457530233164,0.00400266844563042,"Rejected"
"top.intensity.vis.hsv.h.yellow2green.24",0,0,0,0,0,"Rejected"
"top.intensity.vis.hsv.h.mean.24",-1.38777878078145e-17,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.intensity.fluo.intensity.mean.24",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.lab.a.mean.24",0.237552258591315,0,-1.00100150250438,1.33096314650452,0.00066711140760507,"Rejected"
"top.intensity.vis.hsv.v.mean.24",0,0,0,0,0,"Rejected"
"top.intensity.vis.lab.b.mean.24",0.147747409866389,0,-1.00100150250438,1.36295705535784,0,"Rejected"
"top.intensity.vis.lab.l.mean.24",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.rgb.blue.mean.24",0.187687781719572,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.intensity.vis.rgb.red.mean.24",1.38777878078145e-17,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.intensity.vis.rgb.green.mean.24",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
