"trait","meanImp","medianImp","minImp","maxImp","normHits","decision"
"top.intensity.vis.hsv.v.mean.23",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.lab.b.mean.23",0,0,0,0,0,"Rejected"
"top.intensity.vis.lab.l.mean.23",0,0,0,0,0,"Rejected"
"top.intensity.vis.rgb.blue.mean.23",0,0,0,0,0,"Rejected"
"top.intensity.vis.rgb.red.mean.23",0,0,0,0,0,"Rejected"
"top.intensity.vis.rgb.green.mean.23",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.hsv.h.mean.23",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.hsv.v.mean.23",0.375375563439144,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.hsv.s.mean.23",0,0,0,0,0,"Rejected"
"top.geometry.fluo.branchpoint.count.24",0,0,0,0,0,"Rejected"
"top.geometry.fluo.border.length..px..24",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.circumcircle.d..px..24",1.38777878078145e-17,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.centroid.y..px..24",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.centroid.x..px..24",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.hull.area..px..24",0.250250375626096,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.compactness.16.24",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.hull.circularity.24",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.length.24",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.fillgrade.....24",0,0,0,0,0,"Rejected"
"top.geometry.fluo.compactness.16.24",0,0,0,0,0,"Rejected"
"top.geometry.fluo.area..px.2..24",0.0674731682600024,0,-1.00100150250438,1.41693653346005,0.00066711140760507,"Rejected"
"top.geometry.fluo.leaf.length.mean..px..24",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.curvature.avg.24",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.count.24",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.points.24",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.width.mean..px..24",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.minrectangle.length.b..px..24",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.minrectangle.length.a..px..24",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.hull.pc2..px..24",0.162131195181564,0,0,1.40275209380409,0.00066711140760507,"Rejected"
"top.geometry.fluo.hull.pc1..px..24",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.geometry.vis.leaftip.count..leaftips..24",0,0,0,0,0,"Rejected"
"top.intensity.fluo.lab.b.mean.24",0.317510158486257,0,-1.00100150250438,1.66270581568948,0.00066711140760507,"Rejected"
"top.intensity.fluo.lab.a.mean.24",0.250250375626096,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.lab.l.mean.24",0.353402341988966,0,0,1.415440166742,0.00066711140760507,"Rejected"
"top.intensity.vis.hsv.h.brown2green.24",0.0668996571020506,0,0,1.40489279914306,0.00066711140760507,"Rejected"
"top.intensity.nir.mean.24",0.650696698289413,1.00100150250438,-1.00100150250438,2.7991671115897,0.470313542361574,"Tentative"
"top.intensity.vis.hsv.h.red2green.24",0,0,0,0,0,"Rejected"
"top.intensity.vis.hsv.s.mean.24",0.542333836576352,0,0,1.6885789664753,0.0113408939292862,"Rejected"
"top.intensity.vis.hsv.h.yellow2green.24",0,0,0,0,0,"Rejected"
"top.intensity.vis.hsv.h.mean.24",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.intensity.mean.24",0.0570700793078522,0,0,1.1984716654649,0.00066711140760507,"Rejected"
"top.intensity.vis.lab.a.mean.24",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.hsv.v.mean.24",0,0,0,0,0,"Rejected"
"top.intensity.vis.lab.b.mean.24",0.31281296953262,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.lab.l.mean.24",0,0,0,0,0,"Rejected"
"top.intensity.vis.rgb.blue.mean.24",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.rgb.red.mean.24",0,0,0,0,0,"Rejected"
"top.intensity.vis.rgb.green.mean.24",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.fluo.hsv.h.mean.24",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.fluo.hsv.v.mean.24",0.250250375626096,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.hsv.s.mean.24",0.0625625939065239,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.branchpoint.count.25",0,0,0,0,0,"Rejected"
"top.geometry.fluo.border.length..px..25",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.circumcircle.d..px..25",0.255682288280363,0,-1.00100150250438,1.36532204387009,0.00066711140760507,"Rejected"
"top.geometry.fluo.hull.centroid.y..px..25",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.hull.centroid.x..px..25",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.area..px..25",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.compactness.16.25",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.circularity.25",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.length.25",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.fillgrade.....25",0,0,0,0,0,"Rejected"
"top.geometry.fluo.compactness.16.25",0,0,0,0,0,"Rejected"
"top.geometry.fluo.area..px.2..25",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.length.mean..px..25",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.curvature.avg.25",0.250250375626096,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.count.25",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.points.25",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.width.mean..px..25",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.minrectangle.length.b..px..25",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.minrectangle.length.a..px..25",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.pc2..px..25",0.462280436083175,0,0,1.89461870980227,0.00333555703802535,"Rejected"
"top.geometry.fluo.hull.pc1..px..25",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.vis.leaftip.count..leaftips..25",0,0,0,0,0,"Rejected"
"top.intensity.fluo.lab.b.mean.25",0.372165818705662,0,0,1.41162940121908,0.00200133422281521,"Rejected"
"top.intensity.fluo.lab.a.mean.25",0.336597878571631,0,0,1.4167285799706,0.00200133422281521,"Rejected"
"top.intensity.fluo.lab.l.mean.25",0.298528432936294,0,0,1.27628264877874,0.00133422281521014,"Rejected"
"top.intensity.vis.hsv.h.brown2green.25",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.nir.mean.25",0.980836975472862,1.00100150250438,0,2.5649097042472,0.673782521681121,"Confirmed"
"top.intensity.vis.hsv.h.red2green.25",0,0,0,0,0,"Rejected"
"top.intensity.vis.hsv.s.mean.25",1.32870542571701,1.40370754630998,0,3.24296283871427,0.843228819212809,"Confirmed"
"top.intensity.vis.hsv.h.yellow2green.25",-0.187687781719572,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.hsv.h.mean.25",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.intensity.mean.25",0.435873496362206,0,0,1.41658303521749,0.00333555703802535,"Rejected"
"top.intensity.vis.lab.a.mean.25",0.18116072416567,0,-1.00100150250438,1.40242909410835,0.00133422281521014,"Rejected"
"top.intensity.vis.hsv.v.mean.25",0,0,0,0,0,"Rejected"
"top.intensity.vis.lab.b.mean.25",0.125125187813048,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.intensity.vis.lab.l.mean.25",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.rgb.blue.mean.25",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.rgb.red.mean.25",0,0,0,0,0,"Rejected"
"top.intensity.vis.rgb.green.mean.25",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.hsv.h.mean.25",0,0,0,0,0,"Rejected"
"top.intensity.fluo.hsv.v.mean.25",0.417906632057053,0,-1.00100150250438,1.39735718787044,0.00066711140760507,"Rejected"
"top.intensity.fluo.hsv.s.mean.25",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.branchpoint.count.26",0,0,0,0,0,"Rejected"
"top.geometry.fluo.border.length..px..26",0.258099128704275,0,0,1.41607569277225,0.00066711140760507,"Rejected"
"top.geometry.fluo.circumcircle.d..px..26",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.centroid.y..px..26",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.centroid.x..px..26",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.area..px..26",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.compactness.16.26",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.circularity.26",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.length.26",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.fillgrade.....26",0.0476667382144944,0,-1.00100150250438,1.00100150250438,0.00066711140760507,"Rejected"
"top.geometry.fluo.compactness.16.26",0,0,0,0,0,"Rejected"
"top.geometry.fluo.area..px.2..26",0.259546472723169,0,-1.00100150250438,1.46740489120182,0.00200133422281521,"Rejected"
"top.geometry.fluo.leaf.length.mean..px..26",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.curvature.avg.26",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.count.26",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.points.26",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.width.mean..px..26",0.2272451638618,0,0,1.40798990269939,0.00066711140760507,"Rejected"
