Plant.ID;Treatment;DAS;Field.Capacity
1745AJ017;D;13;88.1197268
1745AJ017;D;14;88.1197268
1745AJ017;D;15;88.52149458
1745AJ017;D;16;74.45962234
1745AJ017;D;17;63.21012455
1745AJ017;D;18;57.18360787
1745AJ017;D;19;51.55885898
1745AJ017;D;20;47.13941342
1745AJ017;D;21;41.9164323
1745AJ017;D;22;37.89875452
1745AJ017;D;23;34.68461229
1745AJ017;D;24;31.47047007
1745AJ017;D;25;29.0598634
1745AJ017;D;26;26.24748895
1745AJ017;D;27;24.23865006
1745AJ017;D;28;22.22981117
1745AJ017;D;29;20.22097228
1745AJ017;D;30;41.11289675
1745AJ017;D;31;84.90558457
1745AJ017;D;32;88.32061069
1745AJ017;D;33;87.91884291
1745AJ017;D;34;87.51707513
1745AJ029;D;1;91.33386902
1745AJ029;D;5;90.93210125
1745AJ029;D;7;90.53033347
1745AJ029;D;8;90.93210125
1745AJ029;D;10;82.09321012
1745AJ029;D;11;82.89674568
1745AJ029;D;12;82.89674568
1745AJ029;D;13;82.4949779
1745AJ029;D;14;82.89674568
1745AJ029;D;15;82.89674568
1745AJ029;D;16;69.638409
1745AJ029;D;17;58.38891121
1745AJ029;D;18;51.1570912
1745AJ029;D;19;44.72880675
1745AJ029;D;20;40.30936119
1745AJ029;D;21;34.68461229
1745AJ029;D;22;30.26516673
1745AJ029;D;23;26.64925673
1745AJ029;D;24;23.4351145
1745AJ029;D;25;20.62274006
1745AJ029;D;26;17.81036561
1745AJ029;D;27;14.99799116
1745AJ029;D;28;12.98915227
1745AJ029;D;29;10.5785456
1745AJ029;D;30;31.87223785
1745AJ029;D;31;79.28083568
1745AJ030;WW;1;85.70912013
1745AJ030;WW;5;82.09321012
1745AJ030;WW;7;84.50381679
1745AJ030;WW;8;84.90558457
1745AJ030;WW;10;76.87022901
1745AJ030;WW;11;77.27199679
1745AJ030;WW;12;76.87022901
1745AJ030;WW;13;76.87022901
1745AJ030;WW;14;76.87022901
1745AJ030;WW;15;76.87022901
1745AJ034;D;1;90.53033347
